feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
Fp1_delta_spectral_edge_frequency,,,,,,,600.0
Fp1_delta_spectral_diff,0.06080326625964794,0.13750443218250552,[-0.02  0.14],0.07962766187317204,0.05162652549978208,[-0.    0.16],600.0
Fp1_theta_relative_power,0.03246355360961724,0.4281199913740813,[-0.05  0.11],0.03782830314984388,0.35577283875099464,[-0.04  0.12],600.0
Fp1_theta_spectral_entropy,-0.011393513738266822,0.7809789715193214,[-0.09  0.07],0.00902179769660945,0.8257447845951541,[-0.07  0.09],600.0
Fp1_theta_spectral_flatness,-0.010865594334884095,0.7908865572944126,[-0.09  0.07],0.009655641328638514,0.8137191078107995,[-0.07  0.09],600.0
Fp1_theta_spectral_edge_frequency,,,,,,,600.0
Fp1_theta_spectral_diff,0.041274995250207634,0.3136187186915974,[-0.04  0.12],0.017077613798798897,0.6768442814702362,[-0.06  0.1 ],600.0
Fp1_lowalpha_relative_power,-0.03223870639130228,0.43132775252626754,[-0.11  0.05],-0.011550600542840357,0.7780376409688776,[-0.09  0.07],600.0
Fp1_lowalpha_spectral_entropy,-0.05809078208921178,0.15596309030630243,[-0.14  0.02],-0.012789416125392696,0.7549559674698529,[-0.09  0.07],600.0
Fp1_lowalpha_spectral_flatness,-0.058091720731393244,0.15595639344200832,[-0.14  0.02],-0.012318545242138074,0.7637048114497526,[-0.09  0.07],600.0
Fp1_lowalpha_spectral_edge_frequency,,,,,,,600.0
Fp1_lowalpha_spectral_diff,0.0024001899034550803,0.9532933208222374,[-0.08  0.08],-0.047868060037107585,0.24248895278492105,[-0.13  0.03],600.0
Fp1_highalpha_relative_power,0.0540372019211259,0.18695949489223163,[-0.03  0.13],0.062343592220598806,0.12779764645101396,[-0.02  0.14],600.0
Fp1_highalpha_spectral_entropy,-0.0274483759686507,0.5028925559546357,[-0.11  0.05],-0.017607787483882312,0.6674037595014932,[-0.1   0.06],600.0
Fp1_highalpha_spectral_flatness,-0.027851005157385717,0.4966460446577373,[-0.11  0.05],-0.01768264566645046,0.666074976997892,[-0.1   0.06],600.0
Fp1_highalpha_spectral_edge_frequency,,,,,,,600.0
Fp1_highalpha_spectral_diff,-0.03381841595135506,0.4090862790331192,[-0.11  0.05],-0.001526820333172587,0.970278636065977,[-0.08  0.08],600.0
Fp1_beta_relative_power,-0.021743102405581007,0.5956565563846892,[-0.1   0.06],-0.01490901892843161,0.7159751626307889,[-0.09  0.07],600.0
Fp1_beta_spectral_entropy,0.0006040759451233676,0.9882386581287843,[-0.08  0.08],-0.0017835383289444295,0.9652842368269589,[-0.08  0.08],600.0
Fp1_beta_spectral_flatness,2.3894377893405565e-05,0.9995347603458204,[-0.08  0.08],-0.001157817580306473,0.977459500969111,[-0.08  0.08],600.0
Fp1_beta_spectral_edge_frequency,,,,,,,600.0
Fp1_beta_spectral_diff,0.04448956488885071,0.27738561758548885,[-0.04  0.12],0.024236611022834937,0.5541654705087575,[-0.06  0.1 ],600.0
Fp1_lowgamma_relative_power,-0.0297659164580794,0.4675109377008456,[-0.11  0.05],-0.0330209203638339,0.4202283507899828,[-0.11  0.05],600.0
Fp1_lowgamma_spectral_entropy,-0.031220629386968776,0.4460248917820171,[-0.11  0.05],-0.039483986758721105,0.33509675917145854,[-0.12  0.04],600.0
Fp1_lowgamma_spectral_flatness,-0.029710092375630985,0.4683467023146348,[-0.11  0.05],-0.039192400418319215,0.33868093542937805,[-0.12  0.04],600.0
Fp1_lowgamma_spectral_edge_frequency,,,,,,,600.0
Fp1_lowgamma_spectral_diff,-0.04405187642151029,0.2821444479710935,[-0.12  0.04],-0.04632517738459267,0.2580236465323638,[-0.13  0.03],600.0
Fp2_delta_relative_power,0.010053426892314452,0.8061941891218134,[-0.07  0.09],0.03133124649536861,0.4444143575317945,[-0.05  0.11],600.0
Fp2_delta_spectral_entropy,0.04485678226233368,0.27343530015148787,[-0.04  0.12],0.043666949030213384,0.2863750139276645,[-0.04  0.12],600.0
Fp2_delta_spectral_flatness,0.0453880791735046,0.26778810914396345,[-0.03  0.13],0.042953258322567404,0.29433144042501785,[-0.04  0.12],600.0
Fp2_delta_spectral_edge_frequency,,,,,,,600.0
Fp2_delta_spectral_diff,0.04959258642712249,0.2259158004423464,[-0.03  0.13],0.059200610823247596,0.14819589493412735,[-0.02  0.14],600.0
Fp2_theta_relative_power,-0.025700737988014494,0.5304786849230785,[-0.11  0.05],-0.030399513385482708,0.45808311748661135,[-0.11  0.05],600.0
Fp2_theta_spectral_entropy,-0.0004665647365054039,0.990915865140866,[-0.08  0.08],0.010402592536413197,0.799603707700321,[-0.07  0.09],600.0
Fp2_theta_spectral_flatness,-0.0006315536671731847,0.9877037089738268,[-0.08  0.08],0.01148808692875898,0.7792077833035645,[-0.07  0.09],600.0
Fp2_theta_spectral_edge_frequency,,,,,,,600.0
Fp2_theta_spectral_diff,0.07242661953045743,0.0767700748289547,[-0.01  0.15],0.0587774998605385,0.15112154794481727,[-0.02  0.14],600.0
Fp2_lowalpha_relative_power,-0.06387966293151352,0.11865562880143701,[-0.14  0.02],-0.04568392823662353,0.2646784066158826,[-0.13  0.03],600.0
Fp2_lowalpha_spectral_entropy,-0.07057319998870175,0.08464660590659567,[-0.15  0.01],-0.03913676373455841,0.3393675992179501,[-0.12  0.04],600.0
Fp2_lowalpha_spectral_flatness,-0.06992058073114085,0.08757061847336138,[-0.15  0.01],-0.03724235156380911,0.3632784538331929,[-0.12  0.04],600.0
Fp2_lowalpha_spectral_edge_frequency,,,,,,,600.0
Fp2_lowalpha_spectral_diff,-0.012952863573688257,0.7519263443938251,[-0.09  0.07],-0.05625244021225973,0.1695009523968771,[-0.14  0.02],600.0
Fp2_highalpha_relative_power,0.05088170274105571,0.21406518680137807,[-0.03  0.13],0.06176408153980603,0.13138526968435732,[-0.02  0.14],600.0
Fp2_highalpha_spectral_entropy,-0.035320454920348084,0.3885831842754145,[-0.12  0.04],0.0398079366953344,0.33114345982312465,[-0.04  0.12],600.0
Fp2_highalpha_spectral_flatness,-0.03512689181585148,0.39118976361153257,[-0.11  0.05],0.04013554051344867,0.32717629825699246,[-0.04  0.12],600.0
Fp2_highalpha_spectral_edge_frequency,,,,,,,600.0
Fp2_highalpha_spectral_diff,-0.03331077261168213,0.416158310423988,[-0.11  0.05],-0.004420565296673746,0.9140948321918458,[-0.08  0.08],600.0
Fp2_beta_relative_power,-0.04136482844588945,0.31256576746678144,[-0.12  0.04],-0.02560832149758551,0.5319585089539642,[-0.11  0.05],600.0
Fp2_beta_spectral_entropy,-0.03153225955573121,0.44149618958766235,[-0.11  0.05],0.004519459048874669,0.9121806975341079,[-0.08  0.08],600.0
Fp2_beta_spectral_flatness,-0.030821359799322455,0.45186557664082727,[-0.11  0.05],0.00630855986832174,0.8776503289194655,[-0.07  0.09],600.0
Fp2_beta_spectral_edge_frequency,,,,,,,600.0
Fp2_beta_spectral_diff,0.035366558356812614,0.3879639005471258,[-0.04  0.12],0.02456520335199011,0.5488048344499523,[-0.06  0.1 ],600.0
Fp2_lowgamma_relative_power,0.008524022498472795,0.8352177100525203,[-0.07  0.09],0.0033446609691246613,0.9349492425003771,[-0.08  0.08],600.0
Fp2_lowgamma_spectral_entropy,-0.024180644437487755,0.5550810472101588,[-0.1   0.06],-0.006448014109518823,0.8749676729557876,[-0.09  0.07],600.0
Fp2_lowgamma_spectral_flatness,-0.024672566838947113,0.5470588630924555,[-0.1   0.06],-0.006730919425121356,0.8695299073713278,[-0.09  0.07],600.0
Fp2_lowgamma_spectral_edge_frequency,,,,,,,600.0
Fp2_lowgamma_spectral_diff,-0.005359538531076763,0.8959421637538675,[-0.09  0.07],-0.019579235791993034,0.6327673561379419,[-0.1   0.06],600.0
Fpz_delta_relative_power,0.02429440471103423,0.5532207779777496,[-0.06  0.1 ],0.03883148699567846,0.34315113913862716,[-0.04  0.12],600.0
Fpz_delta_spectral_entropy,0.04509119898844227,0.270933734999842,[-0.04  0.12],0.060378250218537724,0.1402801844041436,[-0.02  0.14],600.0
Fpz_delta_spectral_flatness,0.04496041128516624,0.27232749288242714,[-0.04  0.12],0.05972004947621997,0.14466342604227053,[-0.02  0.14],600.0
Fpz_delta_spectral_edge_frequency,,,,,,,600.0
Fpz_delta_spectral_diff,0.07703841435308206,0.059733254626322924,[-0.    0.16],0.09232709102823547,0.023953724599362274,[0.01 0.17],600.0
Fpz_theta_relative_power,-0.03517327604484824,0.3905641767414342,[-0.12  0.05],-0.03909005047178768,0.3399448182005159,[-0.12  0.04],600.0
Fpz_theta_spectral_entropy,-0.02351591973275387,0.5660115353466496,[-0.1   0.06],0.007435215932203149,0.8560197614886023,[-0.07  0.09],600.0
