feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
O1_lowalpha_spectral_flatness,0.015146758071530658,0.8723567483020742,[-0.17  0.2 ],0.019563848949698162,0.8355984235370848,[-0.16  0.2 ],117.0
O1_lowalpha_spectral_edge_frequency,,,,,,,117.0
O1_lowalpha_spectral_diff,-0.12809354286010569,0.17248219251332728,[-0.3   0.06],-0.12226274765908536,0.19302301666099259,[-0.3   0.06],117.0
O1_highalpha_relative_power,0.1872058363896506,0.04513693193523705,[0.   0.36],0.18868922056056783,0.04343104288022313,[0.01 0.36],117.0
O1_highalpha_spectral_entropy,0.12342816423630099,0.1887818508664247,[-0.06  0.3 ],0.09540324401400964,0.31047545391529824,[-0.09  0.27],117.0
O1_highalpha_spectral_flatness,0.11911056034389704,0.20483953027747567,[-0.07  0.3 ],0.0946086903317273,0.3145407659502311,[-0.09  0.27],117.0
O1_highalpha_spectral_edge_frequency,,,,,,,117.0
O1_highalpha_spectral_diff,0.03964801100886479,0.6739754265245224,[-0.14  0.22],0.055381843521020276,0.5566211890963609,[-0.13  0.24],117.0
O1_beta_relative_power,0.06104028134213189,0.5169604449314447,[-0.12  0.24],0.07841602667627283,0.40483599163048656,[-0.11  0.26],117.0
O1_beta_spectral_entropy,0.13994472231522656,0.13577875274802428,[-0.04  0.31],0.13569627291810557,0.14818256691636536,[-0.05  0.31],117.0
O1_beta_spectral_flatness,0.1372920969328654,0.1434268945609931,[-0.05  0.31],0.13454236242138046,0.15169466295663944,[-0.05  0.31],117.0
O1_beta_spectral_edge_frequency,,,,,,,117.0
O1_beta_spectral_diff,0.14090440061999346,0.1330896805847546,[-0.04  0.32],0.1299708615014686,0.1662249893458279,[-0.05  0.31],117.0
O1_lowgamma_relative_power,0.017412544299079426,0.8534621136428737,[-0.17  0.2 ],0.028230506185024175,0.7645654817123925,[-0.16  0.21],117.0
O1_lowgamma_spectral_entropy,0.06839925757840834,0.46763122542791224,[-0.12  0.25],0.12971289129721428,0.16707469323739496,[-0.05  0.31],117.0
O1_lowgamma_spectral_flatness,0.0711319274980253,0.44999135201633367,[-0.11  0.25],0.13311635416665396,0.1561208917336222,[-0.05  0.31],117.0
O1_lowgamma_spectral_edge_frequency,,,,,,,117.0
O1_lowgamma_spectral_diff,0.15717304323516484,0.09344013967267291,[-0.03  0.33],0.15897573727902437,0.08969457443284072,[-0.02  0.33],117.0
O2_delta_relative_power,-0.09900312174499441,0.29248736226062694,[-0.28  0.09],-0.05336713026279823,0.5710874748880992,[-0.23  0.13],117.0
O2_delta_spectral_entropy,-0.062260554335390475,0.5086008003949587,[-0.24  0.12],0.016717743879693304,0.8592478311186983,[-0.17  0.2 ],117.0
O2_delta_spectral_flatness,-0.06202365929451382,0.5102181939879423,[-0.24  0.12],0.014899514679875946,0.8744230913856064,[-0.17  0.2 ],117.0
O2_delta_spectral_edge_frequency,,,,,,,117.0
O2_delta_spectral_diff,-0.061032753465764575,0.517012232712765,[-0.24  0.12],0.05830915936650996,0.5359215411872961,[-0.13  0.24],117.0
O2_theta_relative_power,-0.0768951671173509,0.41403653240978,[-0.26  0.11],0.046743245433992574,0.6198515335208231,[-0.14  0.23],117.0
O2_theta_spectral_entropy,-0.08774709035884992,0.3510764409966314,[-0.27  0.1 ],0.23356716566293034,0.011997556677013825,[0.05 0.4 ],117.0
O2_theta_spectral_flatness,-0.09231952769444683,0.3264453419439086,[-0.27  0.09],0.23527052709939775,0.011371602061273543,[0.05 0.4 ],117.0
O2_theta_spectral_edge_frequency,,,,,,,117.0
O2_theta_spectral_diff,0.051637198102177644,0.5836481004834764,[-0.13  0.23],0.07464964280084002,0.4278418159874864,[-0.11  0.25],117.0
O2_lowalpha_relative_power,-0.10325542625730029,0.27214645925544045,[-0.28  0.08],-0.10624518076027067,0.25843072347159524,[-0.28  0.08],117.0
O2_lowalpha_spectral_entropy,0.019659034532574036,0.8348098948716449,[-0.16  0.2 ],-0.047795047433453336,0.6119895038625585,[-0.23  0.14],117.0
O2_lowalpha_spectral_flatness,0.02073028735585724,0.825946985501759,[-0.16  0.2 ],-0.04631514508343396,0.6230638940447395,[-0.23  0.14],117.0
O2_lowalpha_spectral_edge_frequency,,,,,,,117.0
O2_lowalpha_spectral_diff,-0.15390143009741886,0.10055300907294804,[-0.33  0.03],-0.11043104867543342,0.24003416308373898,[-0.29  0.07],117.0
O2_highalpha_relative_power,0.1334213148710953,0.15516628182912245,[-0.05  0.31],0.14955274816307748,0.11065866652257152,[-0.03  0.32],117.0
O2_highalpha_spectral_entropy,-0.08531071937369282,0.36466310895906295,[-0.26  0.1 ],0.04836646320971418,0.6077366097131598,[-0.14  0.23],117.0
O2_highalpha_spectral_flatness,-0.08643583421740234,0.3583489881970887,[-0.27  0.1 ],0.050236730228240885,0.5939086259187227,[-0.13  0.23],117.0
O2_highalpha_spectral_edge_frequency,,,,,,,117.0
O2_highalpha_spectral_diff,0.1145224314671531,0.2229527026300406,[-0.07  0.29],0.10703280397807276,0.25489753618953337,[-0.08  0.28],117.0
O2_beta_relative_power,0.07673208897518068,0.41503027799941017,[-0.11  0.26],0.08057668008503234,0.39197447640430993,[-0.1   0.26],117.0
O2_beta_spectral_entropy,0.03244739240330726,0.7306590562885446,[-0.15  0.21],0.13428341240722497,0.1524913391648481,[-0.05  0.31],117.0
O2_beta_spectral_flatness,0.023681473955860385,0.8016467625137679,[-0.16  0.21],0.13233325664563428,0.15859232948038346,[-0.05  0.31],117.0
O2_beta_spectral_edge_frequency,,,,,,,117.0
O2_beta_spectral_diff,0.11905924156716342,0.2050361075320562,[-0.07  0.3 ],0.08150606599958288,0.38651830127282194,[-0.1   0.26],117.0
O2_lowgamma_relative_power,-0.004988790423525117,0.9577998688316743,[-0.19  0.18],-0.038638873192995485,0.6818188842191186,[-0.22  0.15],117.0
O2_lowgamma_spectral_entropy,-0.09069875852654675,0.33504635916506453,[-0.27  0.09],0.056954085709405626,0.545455841501482,[-0.13  0.24],117.0
O2_lowgamma_spectral_flatness,-0.09865522458645941,0.2941949766505089,[-0.28  0.09],0.06176984729489065,0.5119540282969478,[-0.12  0.24],117.0
O2_lowgamma_spectral_edge_frequency,,,,,,,117.0
O2_lowgamma_spectral_diff,0.04519736103917264,0.6314847829290322,[-0.14  0.23],0.06112958771544663,0.5163462669814594,[-0.12  0.24],117.0
P3_delta_relative_power,-0.21595091093631172,0.020452687474033587,[-0.38 -0.03],-0.18738608197646542,0.0449267204222039,[-0.36 -0.  ],117.0
P3_delta_spectral_entropy,0.018567765567500574,0.8438597344764115,[-0.17  0.2 ],0.1105198443607337,0.23965404080009695,[-0.07  0.29],117.0
P3_delta_spectral_flatness,0.01680294327389155,0.8585379540296957,[-0.17  0.2 ],0.111095436950973,0.23720016191013443,[-0.07  0.29],117.0
P3_delta_spectral_edge_frequency,,,,,,,117.0
P3_delta_spectral_diff,0.02891686795107375,0.7590143268927318,[-0.16  0.21],0.10597623065631202,0.25964483792477117,[-0.08  0.28],117.0
P3_theta_relative_power,-0.20928447495881328,0.024785612216120523,[-0.38 -0.03],-0.17416813919256507,0.06266000253065215,[-0.35  0.01],117.0
P3_theta_spectral_entropy,-0.02345730528117832,0.8034862624619743,[-0.21  0.16],0.08999770848453006,0.3388108748811175,[-0.09  0.27],117.0
P3_theta_spectral_flatness,-0.026860813790491968,0.7756787647672015,[-0.21  0.16],0.0925322151560579,0.3253272641589696,[-0.09  0.27],117.0
P3_theta_spectral_edge_frequency,,,,,,,117.0
P3_theta_spectral_diff,0.018470902665201305,0.8446640156219791,[-0.17  0.2 ],0.017976283752980635,0.848773455937569,[-0.17  0.2 ],117.0
P3_lowalpha_relative_power,-0.20060234556863896,0.03158518966007094,[-0.37 -0.02],-0.1860080270366826,0.0465547572915558,[-0.36 -0.  ],117.0
P3_lowalpha_spectral_entropy,-0.0670854851699168,0.47624456071658405,[-0.25  0.12],-0.06134626026725906,0.5148577189496368,[-0.24  0.12],117.0
P3_lowalpha_spectral_flatness,-0.061308876015100315,0.5151143929490447,[-0.24  0.12],-0.059659946183644876,0.526500541890446,[-0.24  0.12],117.0
P3_lowalpha_spectral_edge_frequency,,,,,,,117.0
P3_lowalpha_spectral_diff,-0.14758546937397177,0.11548268156289718,[-0.32  0.04],-0.11175679659997478,0.23440233151750228,[-0.29  0.07],117.0
P3_highalpha_relative_power,-0.07971927994089063,0.39704869910268403,[-0.26  0.1 ],-0.06575160080842246,0.4850767735395989,[-0.25  0.12],117.0
P3_highalpha_spectral_entropy,-0.20586716944578803,0.0272957705008879,[-0.37 -0.02],-0.17600444396377796,0.059899266372598105,[-0.35  0.01],117.0
P3_highalpha_spectral_flatness,-0.20372350653542223,0.028978359971177682,[-0.37 -0.02],-0.1702032843668667,0.0689753903634618,[-0.34  0.01],117.0
P3_highalpha_spectral_edge_frequency,,,,,,,117.0
P3_highalpha_spectral_diff,0.07335377882700188,0.43592751866059076,[-0.11  0.25],0.11436853591049094,0.22357925709961954,[-0.07  0.29],117.0
P3_beta_relative_power,0.03409128738182554,0.7175764515170663,[-0.15  0.22],0.03772237693856148,0.6889718345916428,[-0.15  0.22],117.0
P3_beta_spectral_entropy,0.0021987646187967133,0.9813937708434923,[-0.18  0.19],-0.00780752316661084,0.9340002635157131,[-0.19  0.18],117.0
P3_beta_spectral_flatness,-0.0006717152890532186,0.9943153978419152,[-0.18  0.18],-0.012420127525699324,0.8951890907172386,[-0.2   0.17],117.0
P3_beta_spectral_edge_frequency,,,,,,,117.0
P3_beta_spectral_diff,-0.005794809930800473,0.9509896355554528,[-0.19  0.18],-0.0019216375041279945,0.9837385126559957,[-0.18  0.18],117.0
P3_lowgamma_relative_power,0.16965976582679562,0.06988000037837681,[-0.01  0.34],0.1268652739457469,0.17666909909530856,[-0.06  0.3 ],117.0
P3_lowgamma_spectral_entropy,0.10894719429415052,0.24644844715808922,[-0.08  0.29],0.15597645929926537,0.09599397972335318,[-0.03  0.33],117.0
P3_lowgamma_spectral_flatness,0.10906474312345456,0.245936036176277,[-0.08  0.29],0.15767859001587195,0.09237745690980856,[-0.03  0.33],117.0
P3_lowgamma_spectral_edge_frequency,,,,,,,117.0
P3_lowgamma_spectral_diff,0.07905584359199273,0.401001711622782,[-0.11  0.26],0.04370100211795124,0.6428318053114449,[-0.14  0.23],117.0
P4_delta_relative_power,-0.14807372206094496,0.11427047019509948,[-0.32  0.04],-0.07456786656796117,0.4283495079559573,[-0.25  0.11],117.0
P4_delta_spectral_entropy,-0.021727853561497826,0.8177133220982258,[-0.2   0.16],-0.013200347460155554,0.8886460658251129,[-0.2   0.17],117.0
P4_delta_spectral_flatness,-0.020662994275683792,0.8265030971145946,[-0.2   0.16],-0.011182943686141268,0.9055785374469729,[-0.19  0.17],117.0
P4_delta_spectral_edge_frequency,,,,,,,117.0
P4_delta_spectral_diff,0.054716921115869024,0.5613760118624505,[-0.13  0.24],0.13021842266262618,0.16541258976783701,[-0.05  0.31],117.0
P4_theta_relative_power,-0.35265319896834824,0.00011089900465676512,[-0.5  -0.18],-0.23578079760168627,0.011189742243478875,[-0.4  -0.06],117.0
P4_theta_spectral_entropy,-0.16505740135408928,0.07793100888614098,[-0.34  0.02],-0.08622653310567194,0.35951841543315255,[-0.27  0.1 ],117.0
P4_theta_spectral_flatness,-0.1679308461885141,0.07282160701090536,[-0.34  0.02],-0.08882098062295896,0.3451896457547732,[-0.27  0.1 ],117.0
P4_theta_spectral_edge_frequency,,,,,,,117.0
P4_theta_spectral_diff,-0.021901997119371866,0.8162779895645004,[-0.2   0.16],0.03373398081019141,0.7204132131205974,[-0.15  0.22],117.0
P4_lowalpha_relative_power,-0.13028609643866726,0.16519102466882074,[-0.31  0.05],-0.09612515258740285,0.3068116320635001,[-0.27  0.09],117.0
P4_lowalpha_spectral_entropy,-0.037941266326007576,0.687260950654302,[-0.22  0.15],-0.04730464760010503,0.6156497420162153,[-0.23  0.14],117.0
P4_lowalpha_spectral_flatness,-0.03691938085011405,0.6952616094583006,[-0.22  0.15],-0.04318914958420319,0.646732351884225,[-0.22  0.14],117.0
P4_lowalpha_spectral_edge_frequency,,,,,,,117.0
P4_lowalpha_spectral_diff,-0.06325041261865424,0.5018713756215982,[-0.24  0.12],-0.05915033455609984,0.530044977077351,[-0.24  0.13],117.0
P4_highalpha_relative_power,-0.09181967427555139,0.3290827096613319,[-0.27  0.09],-0.09969462785827338,0.2891127186821247,[-0.28  0.08],117.0
P4_highalpha_spectral_entropy,-0.32972148454328615,0.00032016423417434686,[-0.48 -0.16],-0.15764199457578548,0.0924540592885118,[-0.33  0.03],117.0
P4_highalpha_spectral_flatness,-0.3252436570571312,0.00039011264184962745,[-0.48 -0.15],-0.16001624995402355,0.08758753969883855,[-0.33  0.02],117.0
P4_highalpha_spectral_edge_frequency,,,,,,,117.0
P4_highalpha_spectral_diff,0.09058061074354351,0.33567892224861884,[-0.09  0.27],0.0852932320357943,0.3647617856872909,[-0.1   0.26],117.0
P4_beta_relative_power,0.005339801032643965,0.9548337016876897,[-0.18  0.19],-0.015722257530138062,0.8675503466663153,[-0.2   0.17],117.0
P4_beta_spectral_entropy,-0.13647107877860015,0.1458589546688156,[-0.31  0.05],-0.15653333613039233,0.09479867700242096,[-0.33  0.03],117.0
P4_beta_spectral_flatness,-0.1404737726681245,0.13429124958153038,[-0.32  0.04],-0.15547875742269135,0.09707231004676346,[-0.33  0.03],117.0
P4_beta_spectral_edge_frequency,,,,,,,117.0
P4_beta_spectral_diff,-0.06844137701152658,0.467356499213879,[-0.25  0.12],-0.045070429697199675,0.6324440445582703,[-0.23  0.14],117.0
P4_lowgamma_relative_power,0.17717559143540923,0.058191106074633195,[-0.01  0.35],0.16229484865223842,0.08311098675222636,[-0.02  0.34],117.0
P4_lowgamma_spectral_entropy,-0.11262261154822545,0.23077454868802053,[-0.29  0.07],0.029666687674263774,0.7529639203406572,[-0.15  0.21],117.0
