feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
T5_delta_spectral_entropy,0.14329538748273984,0.20477765481502427,[-0.08  0.35],0.10786327830755792,0.34091602744718974,[-0.11  0.32],82.0
T5_delta_spectral_flatness,0.14658369322809317,0.19446921567959627,[-0.08  0.35],0.10553657869237006,0.3514932139098488,[-0.12  0.32],82.0
T5_delta_spectral_edge_frequency,,,,,,,82.0
T5_delta_spectral_diff,-0.02412673169093734,0.8317710874254574,[-0.24  0.2 ],-0.058360643600664244,0.6071005033450263,[-0.27  0.16],82.0
T5_theta_relative_power,0.06936059139061493,0.5409658560270849,[-0.15  0.28],0.08013338944408606,0.4798200805528673,[-0.14  0.29],82.0
T5_theta_spectral_entropy,-0.25507808296582407,0.022401234514830472,[-0.45 -0.04],-0.18630964234880615,0.09798539849027209,[-0.39  0.03],82.0
T5_theta_spectral_flatness,-0.25525555483231377,0.02230471328960629,[-0.45 -0.04],-0.18660826468693578,0.09743870856358566,[-0.39  0.03],82.0
T5_theta_spectral_edge_frequency,,,,,,,82.0
T5_theta_spectral_diff,0.10065465183988748,0.37434044183275816,[-0.12  0.31],0.16699321699551206,0.1387283737817719,[-0.05  0.37],82.0
T5_lowalpha_relative_power,0.213425685456242,0.05732065996188005,[-0.01  0.41],0.2257430625128035,0.044072597601239646,[0.01 0.42],82.0
T5_lowalpha_spectral_entropy,-0.002137791876129366,0.9849846412238586,[-0.22  0.22],0.04679462990667957,0.6802056221856412,[-0.17  0.26],82.0
T5_lowalpha_spectral_flatness,-0.004631923965879775,0.967473387075803,[-0.22  0.22],0.04525768063652033,0.6901655149927752,[-0.18  0.26],82.0
T5_lowalpha_spectral_edge_frequency,,,,,,,82.0
T5_lowalpha_spectral_diff,-0.017560446421411625,0.8771324730426617,[-0.24  0.2 ],-0.048955042339051985,0.6662978350786423,[-0.27  0.17],82.0
T5_highalpha_relative_power,0.08516707899977487,0.4525715229772519,[-0.14  0.3 ],0.07262728274126896,0.5220290985964182,[-0.15  0.29],82.0
T5_highalpha_spectral_entropy,0.02675678529025953,0.8137465024577756,[-0.19  0.25],-0.07596461627530013,0.5030341616849122,[-0.29  0.15],82.0
T5_highalpha_spectral_flatness,0.02778477809343042,0.8067270018436867,[-0.19  0.25],-0.0657164948565917,0.5624799176810197,[-0.28  0.16],82.0
T5_highalpha_spectral_edge_frequency,,,,,,,82.0
T5_highalpha_spectral_diff,0.1473428484823357,0.1921433655260239,[-0.07  0.36],0.22505912901602096,0.0447349768721243,[0.01 0.42],82.0
T5_beta_relative_power,-0.08085842979056622,0.47584198371853825,[-0.3   0.14],-0.09651126010862392,0.3944208505045018,[-0.31  0.13],82.0
T5_beta_spectral_entropy,-0.02554378963277763,0.8220481328513587,[-0.24  0.2 ],-0.009864359364374176,0.9307963053871902,[-0.23  0.21],82.0
T5_beta_spectral_flatness,-0.023407921549687627,0.8367128729593124,[-0.24  0.2 ],-0.009146070214883313,0.9358243939283949,[-0.23  0.21],82.0
T5_beta_spectral_edge_frequency,,,,,,,82.0
T5_beta_spectral_diff,0.07408450304897965,0.5136908663417956,[-0.15  0.29],0.07201274696729136,0.5255658215411061,[-0.15  0.29],82.0
T5_lowgamma_relative_power,-0.17062527096850297,0.1302237600584757,[-0.38  0.05],-0.16484434309895243,0.14395384971820355,[-0.37  0.06],82.0
T5_lowgamma_spectral_entropy,-0.17582363594656397,0.11874953660284585,[-0.38  0.05],-0.15408654982494507,0.17235782053226328,[-0.36  0.07],82.0
T5_lowgamma_spectral_flatness,-0.17402672285330217,0.12262446180785909,[-0.38  0.05],-0.15756353854821226,0.16276057750823136,[-0.36  0.06],82.0
T5_lowgamma_spectral_edge_frequency,,,,,,,82.0
T5_lowgamma_spectral_diff,-0.06377060772119399,0.5741315617808653,[-0.28  0.16],-0.007256688579390066,0.9490617164615196,[-0.23  0.21],82.0
T6_delta_relative_power,0.08755093794408178,0.43997262799043746,[-0.13  0.3 ],0.1370973054572357,0.2252552142565693,[-0.09  0.35],82.0
T6_delta_spectral_entropy,-0.12672302201144173,0.26265871334720536,[-0.34  0.1 ],-0.18174910604223443,0.1066363643175398,[-0.39  0.04],82.0
T6_delta_spectral_flatness,-0.12270540292406572,0.27821357941762465,[-0.33  0.1 ],-0.17579515290969078,0.11881021526310216,[-0.38  0.05],82.0
T6_delta_spectral_edge_frequency,,,,,,,82.0
T6_delta_spectral_diff,-0.21522248862738808,0.05520681219411205,[-0.42  0.  ],-0.2670457546894295,0.016638532467486655,[-0.46 -0.05],82.0
T6_theta_relative_power,0.15653548664160502,0.16555610744033275,[-0.07  0.36],0.14542878821141067,0.1980462793707024,[-0.08  0.35],82.0
T6_theta_spectral_entropy,0.028710403114072646,0.800419522743492,[-0.19  0.25],0.06511835032211222,0.5660495647956691,[-0.16  0.28],82.0
T6_theta_spectral_flatness,0.024776571088806303,0.8273090728776249,[-0.2   0.24],0.0649157793589466,0.5672608938186219,[-0.16  0.28],82.0
T6_theta_spectral_edge_frequency,,,,,,,82.0
T6_theta_spectral_diff,-0.11921083829092076,0.2922336575751452,[-0.33  0.1 ],-0.04688921631663566,0.6795944358393402,[-0.26  0.17],82.0
T6_lowalpha_relative_power,0.2674094394985479,0.0164855565233306,[0.05 0.46],0.2562285878904937,0.021781790456241474,[0.04 0.45],82.0
T6_lowalpha_spectral_entropy,0.09536679538265956,0.40007794745924263,[-0.13  0.31],0.12244968380165432,0.2792240234920769,[-0.1   0.33],82.0
T6_lowalpha_spectral_flatness,0.09343883348350154,0.4097153108914643,[-0.13  0.31],0.12614540283051454,0.2648580525318151,[-0.1   0.34],82.0
T6_lowalpha_spectral_edge_frequency,,,,,,,82.0
T6_lowalpha_spectral_diff,-0.07173075310489765,0.5271927409976949,[-0.29  0.15],-0.08998290218607985,0.42732537433764695,[-0.3   0.13],82.0
T6_highalpha_relative_power,0.18607601677018262,0.09841477135860933,[-0.04  0.39],0.21336847283806243,0.05738903699651791,[-0.01  0.41],82.0
T6_highalpha_spectral_entropy,0.11602784961934078,0.3054018703382364,[-0.11  0.33],0.12359803038508795,0.27470561386630743,[-0.1   0.33],82.0
T6_highalpha_spectral_flatness,0.11328324746198982,0.31706155649519974,[-0.11  0.32],0.1259695381555505,0.26553013785559304,[-0.1   0.34],82.0
T6_highalpha_spectral_edge_frequency,,,,,,,82.0
T6_highalpha_spectral_diff,0.035062886162727756,0.7574956113290545,[-0.19  0.25],0.07361720580955634,0.5163573232508472,[-0.15  0.29],82.0
T6_beta_relative_power,-0.08536409249524698,0.4515227746419034,[-0.3   0.14],-0.09940638917223746,0.38032368277598494,[-0.31  0.12],82.0
T6_beta_spectral_entropy,0.044597211883456105,0.6944618906546918,[-0.18  0.26],0.014523373675443544,0.8982571781135296,[-0.21  0.23],82.0
T6_beta_spectral_flatness,0.045845446890630616,0.6863502835433646,[-0.18  0.26],0.018536433643557552,0.87036133672239,[-0.2   0.24],82.0
T6_beta_spectral_edge_frequency,,,,,,,82.0
T6_beta_spectral_diff,0.18406076599921045,0.1021799698159495,[-0.04  0.39],0.2183956018081604,0.05162961392815852,[-0.    0.42],82.0
T6_lowgamma_relative_power,-0.3373085794408334,0.002215573597620366,[-0.52 -0.13],-0.3420904723433444,0.0018971792847962945,[-0.52 -0.13],82.0
T6_lowgamma_spectral_entropy,-0.15940345208446483,0.15784480518034466,[-0.37  0.06],-0.17406210837384758,0.12254723156155586,[-0.38  0.05],82.0
T6_lowgamma_spectral_flatness,-0.1624209365614093,0.15002293419536988,[-0.37  0.06],-0.17389700329912572,0.12290789860214325,[-0.38  0.05],82.0
T6_lowgamma_spectral_edge_frequency,,,,,,,82.0
T6_lowgamma_spectral_diff,0.20091082387161296,0.07393941719599788,[-0.02  0.4 ],0.2536979991241005,0.023164039815655645,[0.04 0.45],82.0
